"LOCATION,""INDICATOR"",""SUBJECT"",""MEASURE"",""FREQUENCY"",TIME,""Value"",""Flag Codes"""
"BEL,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2012"",,""M"""
"BEL,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2013"",95.742,"
"BEL,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2014"",98.217,"
"BEL,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2015"",103.178,"
"BEL,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2016"",99.322,"
"CAN,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2005"",80.189,"
"CAN,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2010"",84.829,"
"CAN,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2011"",87.964,"
"CAN,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2012"",85.566,"
"CAN,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2013"",88.999,"
"CAN,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2014"",88.942,"
"CAN,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2015"",91.929,"
"CAN,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2016"",93.175,"
"CAN,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2005"",76.02,"
"CAN,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2010"",81.741,"
"CAN,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2011"",87.889,"
"CAN,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2012"",82.727,"
"CAN,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2013"",84.908,"
"CAN,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2014"",84.86,"
"CAN,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2015"",88.872,"
"CAN,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2016"",90.057,"
"CAN,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2005"",84.596,"
"CAN,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2010"",88.042,"
"CAN,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2011"",90.382,"
"CAN,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2012"",88.577,"
"CAN,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2013"",93.298,"
"CAN,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2014"",93.269,"
